Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/02/2026 	_x86_64_	(64 CPU)

07:47:17 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:49:33 PM 100998    599907    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:33 PM 100998    599908    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:33 PM 100998    600831    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:33 PM 100998    600857    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:33 PM 100998    600858    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:33 PM 100998    600859    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:33 PM 100998    600861    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:33 PM 100998    600862    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:33 PM 100998    600863    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:33 PM 100998    600865    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:33 PM 100998    600866    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:33 PM 100998    600867    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:33 PM 100998    600868    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:33 PM 100998    600869    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:33 PM 100998    600870    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:33 PM 100998    600871    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:33 PM 100998    600873    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:33 PM 100998    600874    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:33 PM 100998    600877    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:33 PM 100998    600879    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:33 PM 100998    600881    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:33 PM 100998    600887    0.00    0.00    0.00    0.00    0.00     4  postgres

07:49:33 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:49:34 PM 100998    599904    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:34 PM 100998    599905    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:34 PM 100998    599907    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:34 PM 100998    599908    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:34 PM 100998    600831    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:34 PM 100998    600857    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:34 PM 100998    600858    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:34 PM 100998    600859    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:34 PM 100998    600861    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:34 PM 100998    600862    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:34 PM 100998    600863    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:34 PM 100998    600865    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:34 PM 100998    600866    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:34 PM 100998    600867    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:34 PM 100998    600868    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:34 PM 100998    600869    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:34 PM 100998    600870    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:34 PM 100998    600871    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:34 PM 100998    600873    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:34 PM 100998    600874    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:34 PM 100998    600877    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:34 PM 100998    600879    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:34 PM 100998    600881    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:34 PM 100998    600887    0.00    0.00    0.00    0.00    0.00     4  postgres

07:49:34 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:49:35 PM 100998    599904    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:35 PM 100998    599905    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:35 PM 100998    599907    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:35 PM 100998    599908    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:35 PM 100998    600831    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:35 PM 100998    600857    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:35 PM 100998    600858    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:35 PM 100998    600859    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:35 PM 100998    600861    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:35 PM 100998    600862    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:35 PM 100998    600863    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:35 PM 100998    600865    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:35 PM 100998    600866    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:35 PM 100998    600867    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:35 PM 100998    600868    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:35 PM 100998    600869    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:35 PM 100998    600870    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:35 PM 100998    600871    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:35 PM 100998    600873    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:35 PM 100998    600874    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:35 PM 100998    600877    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:35 PM 100998    600879    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:35 PM 100998    600881    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:35 PM 100998    600887    0.00    0.00    0.00    0.00    0.00     4  postgres

07:49:35 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:49:36 PM 100998    599904    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:36 PM 100998    599905    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:36 PM 100998    599907    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:36 PM 100998    599908    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:36 PM 100998    600831    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:36 PM 100998    600857    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:36 PM 100998    600858    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:36 PM 100998    600859    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:36 PM 100998    600861    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:36 PM 100998    600862    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:36 PM 100998    600863    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:36 PM 100998    600865    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:36 PM 100998    600866    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:36 PM 100998    600867    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:36 PM 100998    600868    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:36 PM 100998    600869    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:36 PM 100998    600870    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:36 PM 100998    600871    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:36 PM 100998    600873    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:36 PM 100998    600874    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:36 PM 100998    600877    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:36 PM 100998    600879    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:36 PM 100998    600881    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:36 PM 100998    600887    0.00    0.00    0.00    0.00    0.00     4  postgres

07:49:36 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:49:37 PM 100998    599904    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:37 PM 100998    599905    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:37 PM 100998    599907    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:37 PM 100998    599908    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:37 PM 100998    600831    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:37 PM 100998    600857    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:37 PM 100998    600858    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:37 PM 100998    600859    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:37 PM 100998    600861    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:37 PM 100998    600862    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:37 PM 100998    600863    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:37 PM 100998    600865    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:37 PM 100998    600866    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:37 PM 100998    600867    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:37 PM 100998    600868    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:37 PM 100998    600869    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:37 PM 100998    600870    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:37 PM 100998    600871    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:37 PM 100998    600873    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:37 PM 100998    600874    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:37 PM 100998    600877    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:37 PM 100998    600879    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:37 PM 100998    600881    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:37 PM 100998    600887    0.00    0.00    0.00    0.00    0.00     4  postgres

07:49:37 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:49:38 PM 100998    599904    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:38 PM 100998    599905    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:38 PM 100998    599907    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:38 PM 100998    599908    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:38 PM 100998    600831    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:38 PM 100998    600857    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:38 PM 100998    600858    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:38 PM 100998    600859    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:38 PM 100998    600861    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:38 PM 100998    600862    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:38 PM 100998    600863    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:38 PM 100998    600865    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:38 PM 100998    600866    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:38 PM 100998    600867    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:38 PM 100998    600868    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:38 PM 100998    600869    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:38 PM 100998    600870    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:38 PM 100998    600871    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:38 PM 100998    600873    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:38 PM 100998    600874    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:38 PM 100998    600877    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:38 PM 100998    600879    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:38 PM 100998    600881    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:38 PM 100998    600887    0.00    0.00    0.00    0.00    0.00     4  postgres

07:49:38 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:49:39 PM 100998    599904    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:39 PM 100998    599905    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:39 PM 100998    599907    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:39 PM 100998    599908    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:39 PM 100998    600831    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:39 PM 100998    600857    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:39 PM 100998    600858    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:39 PM 100998    600859    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:39 PM 100998    600861    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:39 PM 100998    600862    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:39 PM 100998    600863    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:39 PM 100998    600865    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:39 PM 100998    600866    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:39 PM 100998    600867    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:39 PM 100998    600868    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:39 PM 100998    600869    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:39 PM 100998    600870    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:39 PM 100998    600871    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:39 PM 100998    600873    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:39 PM 100998    600874    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:39 PM 100998    600877    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:39 PM 100998    600879    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:39 PM 100998    600881    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:39 PM 100998    600887    0.00    0.00    0.00    0.00    0.00     4  postgres

07:49:39 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:49:40 PM 100998    599904    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:40 PM 100998    599905    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:40 PM 100998    599907    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:40 PM 100998    599908    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:40 PM 100998    600831    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:40 PM 100998    600857    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:40 PM 100998    600858    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:40 PM 100998    600859    0.00    0.00    0.00    0.00    0.00     5  postgres
07:49:40 PM 100998    600861    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:40 PM 100998    600862    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:40 PM 100998    600863    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:40 PM 100998    600865    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:40 PM 100998    600866    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:40 PM 100998    600867    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:40 PM 100998    600868    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:40 PM 100998    600869    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:40 PM 100998    600870    0.00    0.00    0.00    0.00    0.00     6  postgres
07:49:40 PM 100998    600871    0.00    0.00    0.00    0.00    0.00     4  postgres
07:49:40 PM 100998    600873    0.00    0.00    0.00    0.00    0.00     5  postgres
